resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
23250,963,8,6,7,6,4,4,4,12,56,28.785,5861561,47,4,01:37.5,204.736,1,RAI,Kimi,Räikkönen
23251,963,822,3,77,11,5,5,5,10,56,+1:01.582,5894358,53,9,01:39.2,201.159,1,BOT,Valtteri,Bottas
23252,963,815,10,11,7,6,6,6,8,56,+1:03.794,5896570,51,11,01:39.3,200.898,1,PER,Sergio,Pérez
23253,963,4,1,14,22,7,7,7,6,56,+1:05.205,5897981,44,6,01:38.3,203.017,1,ALO,Fernando,Alonso
23254,963,807,10,27,8,8,8,8,4,56,+1:14.062,5906838,43,5,01:37.8,204.051,1,HUL,Nico,Hülkenberg
23255,963,18,1,22,9,9,9,9,2,56,+1:21.816,5914592,51,8,01:38.7,202.094,1,BUT,Jenson,Button
23256,963,835,4,30,19,10,10,10,1,56,+1:35.466,5928242,53,12,01:39.4,200.853,1,PAL,Jolyon,Palmer
23257,963,832,5,55,16,11,11,11,0,56,+1:38.878,5931654,44,10,01:39.2,201.07,1,SAI,Carlos,Sainz
23269,964,3,131,6,1,1,1,1,25,53,26:43.3,5203333,31,5,01:36.0,217.651,1,ROS,Nico,Rosberg
23270,964,830,9,33,3,2,2,2,18,53,4.978,5208311,43,6,01:36.4,216.89,1,VER,Max,Verstappen
23271,964,1,131,44,2,3,3,3,15,53,5.776,5209109,36,2,01:35.2,219.703,1,HAM,Lewis,Hamilton
23272,964,20,6,5,6,4,4,4,12,53,20.269,5223602,36,1,01:35.1,219.781,1,VET,Sebastian,Vettel
23273,964,8,6,7,8,5,5,5,10,53,28.37,5231703,33,4,01:36.0,217.785,1,RAI,Kimi,Räikkönen
23274,964,817,9,3,4,6,6,6,8,53,33.941,5237274,36,3,01:35.5,218.877,1,RIC,Daniel,Ricciardo
23275,964,815,10,11,5,7,7,7,6,53,57.495,5260828,31,7,01:36.8,216.061,1,PER,Sergio,Pérez
23276,964,807,10,27,9,8,8,8,4,53,59.177,5262510,39,10,01:37.4,214.74,1,HUL,Nico,Hülkenberg
23277,964,13,3,19,12,9,9,9,2,53,+1:37.763,5301096,35,14,01:37.8,213.787,1,MAS,Felipe,Massa
23278,964,822,3,77,11,10,10,10,1,53,+1:38.323,5301656,33,15,01:37.8,213.658,1,BOT,Valtteri,Bottas
23279,964,154,210,8,7,11,11,11,0,53,+1:39.254,5302587,32,8,01:37.0,215.473,1,GRO,Romain,Grosjean
23291,965,1,131,44,1,1,1,1,25,56,38:12.6,5892618,45,4,01:42.4,193.842,1,HAM,Lewis,Hamilton
23292,965,3,131,6,2,2,2,2,18,56,4.52,5897138,34,3,01:41.9,194.773,1,ROS,Nico,Rosberg
23293,965,817,9,3,3,3,3,3,15,56,19.692,5912310,51,7,01:42.6,193.523,1,RIC,Daniel,Ricciardo
23294,965,20,6,5,6,4,4,4,12,56,43.134,5935752,55,1,01:39.9,198.712,1,VET,Sebastian,Vettel
23295,965,4,1,14,12,5,5,5,10,56,+1:33.953,5986571,36,10,01:43.5,191.752,1,ALO,Fernando,Alonso
23296,965,832,5,55,10,6,6,6,8,56,+1:36.124,5988742,33,8,01:42.8,193.002,1,SAI,Carlos,Sainz
23313,966,1,131,44,1,1,1,1,25,71,40:31.4,6031402,66,4,01:22.6,187.592,1,HAM,Lewis,Hamilton
23314,966,3,131,6,2,2,2,2,18,71,8.354,6039756,43,5,01:22.8,187.148,1,ROS,Nico,Rosberg
23315,966,817,9,3,4,3,3,3,15,71,20.858,6052260,53,1,01:21.1,190.972,1,RIC,Daniel,Ricciardo
23316,966,830,9,33,3,4,4,4,12,71,21.323,6052725,66,6,01:22.9,186.934,1,VER,Max,Verstappen
23317,966,20,6,5,7,5,5,5,10,71,27.313,6058715,61,2,01:22.5,187.817,1,VET,Sebastian,Vettel
